AID,BIO_SEX,IMONTH,IDAY,IYEAR,H1GI1M,H1GI1Y,H1GI4,H1GI6A,H1GI6B,H1GI6C,H1GI6D,H1GI6E,H1GI8,H1GI9,H1NM4,H1NF4,H1RM1,H1RF1
57268950,1,8,17,95,2,78,0,1,0,0,0,0,7,1,8,97,97,5
57269468,2,7,19,95,1,78,0,0,1,0,0,0,7,2,97,12,2,97
57270588,1,6,14,95,3,78,0,0,1,0,0,0,7,2,8,97,97,8
57272130,2,6,9,95,8,77,0,1,0,0,0,0,7,1,8,97,7,5
57272274,2,6,29,95,9,79,0,0,1,0,0,0,7,2,97,97,2,97
57275298,2,10,1,95,10,80,0,0,1,0,0,0,7,2,97,4,6,97
57275660,1,7,7,95,1,79,1,1,0,0,0,0,7,1,97,97,8,8
57277289,1,8,13,95,2,82,0,0,0,0,0,1,7,5,97,97,8,7
57277290,2,8,21,95,6,80,0,1,0,0,0,0,7,1,97,11,9,97
57279640,1,5,6,95,5,82,1,0,0,0,0,1,7,1,97,97,7,8
57279680,2,6,15,95,9,81,0,1,0,0,0,0,7,1,2,97,97,7
88122937,1,6,12,95,6,82,0,1,0,0,0,0,7,1,97,97,4,6
88143447,1,5,17,95,12,77,0,1,0,0,0,0,7,1,97,8,9,97
88149345,2,9,15,95,10,80,1,1,0,0,0,0,7,1,97,1,1,97
88178056,2,6,3,95,11,80,1,1,0,0,0,0,7,1,97,1,1,97
88183732,1,5,27,95,7,77,0,1,0,0,0,0,7,1,97,97,4,4
88191219,1,6,26,95,4,80,0,1,0,0,0,0,7,1,97,97,6,97
88191364,1,7,10,95,1,77,0,1,0,0,0,0,7,1,97,97,4,4
88202138,2,7,17,95,4,78,0,0,1,0,0,0,7,2,97,2,2,97
88239382,1,9,2,95,1,79,0,1,0,0,0,0,7,1,97,6,5,97
88249047,2,6,9,95,2,77,0,0,1,0,0,0,7,2,97,97,7,2
88251811,1,7,20,95,9,78,0,1,0,0,0,0,7,1,97,7,7,97
88268811,1,6,8,95,5,78,0,0,1,0,0,0,7,2,97,4,4,97
90316053,2,10,13,95,11,81,0,1,0,0,0,0,7,1,97,4,4,97
90316656,1,8,9,95,3,82,0,1,0,0,0,0,7,1,97,97,6,8
90500059,2,6,10,95,9,77,1,1,0,0,0,0,7,1,97,97,2,6
90500217,1,7,1,95,3,74,0,0,0,0,1,0,7,4,4,8,4,8
90500459,2,5,20,95,1,80,0,0,1,0,0,0,7,2,97,2,8,97
90500516,2,8,27,95,1,77,0,1,0,0,0,0,7,1,8,97,97,7
90500633,2,7,13,95,6,78,0,1,0,0,0,0,7,1,97,97,9,9
90500638,1,8,14,95,8,77,0,0,1,0,0,0,7,2,97,97,4,6
90500914,1,6,28,95,11,76,0,0,1,0,0,0,7,2,97,12,7,97
90500974,1,7,14,95,2,78,0,1,0,0,0,0,7,1,97,7,4,97
90501955,1,7,6,95,12,78,0,1,0,0,0,0,7,1,97,97,4,6
90503807,1,5,23,95,8,79,0,0,0,0,1,0,7,5,97,97,9,9
90504005,1,7,29,95,7,77,0,0,1,0,0,0,7,2,97,7,8,97
90504104,2,5,19,95,2,79,0,0,1,0,0,0,7,2,97,4,7,97
90504142,2,5,29,95,8,77,0,1,0,0,0,0,7,1,97,97,4,2
90504220,1,7,27,95,6,79,0,1,0,0,0,0,7,1,97,97,8,8
90504248,1,5,27,95,12,76,1,0,0,0,0,1,7,1,97,97,1,4
90504280,1,5,31,95,2,77,0,1,0,0,0,0,7,1,97,97,4,6
90504297,1,5,12,95,4,78,0,0,1,0,0,0,7,2,97,4,2,97
90504500,2,5,30,95,5,79,0,0,1,0,0,0,7,2,97,11,8,97
90504504,2,7,21,95,3,80,0,0,1,0,0,0,7,2,97,97,9,8
90504603,1,5,19,95,2,80,0,0,1,0,0,0,7,2,97,11,8,97
90504786,1,7,19,95,1,79,0,1,0,0,0,0,7,1,97,4,4,4
90504829,2,7,21,95,6,80,1,0,0,0,0,1,7,5,97,97,12,98
90506040,2,8,2,95,7,77,0,0,0,0,1,0,7,4,97,4,5,97
90506094,2,6,7,95,12,79,0,1,1,1,0,0,2,2,4,97,97,7
90506203,2,6,26,95,12,77,0,1,0,0,0,0,7,1,4,97,7,4
90506236,2,7,7,95,10,79,0,1,0,0,0,0,7,1,97,97,8,8
90506268,1,5,23,95,2,80,1,1,0,0,0,0,7,1,97,8,1,8
90506285,1,6,24,95,4,79,0,1,0,0,0,0,7,1,2,97,4,4
90506286,1,5,23,95,5,78,0,1,0,0,0,0,7,1,97,8,7,97
90506372,2,6,7,95,12,75,0,1,0,0,0,0,7,1,97,97,8,4
90506397,1,5,16,95,10,78,0,0,1,0,0,0,7,2,97,4,8,8
90506428,2,8,18,95,12,78,1,0,0,0,0,1,7,5,97,97,4,7
90506472,2,6,17,95,2,78,0,1,0,0,0,0,7,1,97,97,7,7
90506497,1,7,6,95,6,78,0,0,0,0,1,0,7,4,97,97,9,9
90506725,2,10,6,95,9,79,0,1,0,0,0,0,7,1,97,4,7,4
90506828,2,8,16,95,1,79,1,0,0,0,0,1,7,5,97,97,6,1
90506849,2,6,9,95,1,82,0,0,0,0,1,0,7,4,97,97,8,4
90506896,2,6,16,95,7,78,0,0,1,1,0,0,2,2,97,97,8,8
90506987,2,6,20,95,6,79,0,1,0,0,0,0,7,1,97,97,8,7
90507056,2,7,14,95,2,80,0,0,1,0,0,0,7,2,97,4,4,97
90507350,2,8,4,95,1,79,0,1,0,0,0,0,7,1,97,97,4,8
90507957,2,7,12,95,5,80,1,1,0,0,0,0,7,1,97,4,5,97
90508033,2,5,9,95,7,77,0,1,0,0,0,0,7,1,97,97,8,6
90508165,2,6,22,95,2,80,0,0,1,0,0,0,7,2,97,97,6,1
90508325,2,6,5,95,5,78,0,0,1,0,0,0,7,2,97,97,7,8
90508577,2,5,12,95,8,79,1,1,0,0,0,0,7,1,97,97,8,8
