AID,H4ED2
91579946,2
91579962,3
91579964,3
91579967,5
91579980,3
91579987,7
91579992,3
91579993,6
91579994,6
91579995,6
91579997,3
91608077,6
91608475,7
91608476,6
91614079,7
91614578,10
91614772,9
91614777,4
91614874,6
91614974,5
91614978,6
91619061,3
91619063,9
91619064,9
91619169,6
91619268,6
91619467,8
91619660,7
91619665,13
91619862,7
91624978,6
91646122,10
91646126,6
91676253,7
91676357,9
91676522,6
91676652,11
91676958,3
91678173,7
91678373,6
91678572,7
91678674,8
91710018,8
91710037,6
91710130,7
91710173,6
91710183,6
91710214,6
91710232,2
91710252,3
91710287,3
91710293,5
91710339,6
91710454,4
91710655,6
91710852,3
91710915,7
91710973,3
91710996,6
91710998,3
91711065,3
91711167,8
91711277,3
91711476,3
91711865,7
91712211,5
91712217,5
91712273,6
91712274,8
91712298,6
91712314,2
91712371,2
91712372,3
91712375,3
91712378,3
91712842,4
91712901,6
91712902,5
91712905,2
91712908,6
91712909,6
91712918,3
91712946,6
91712998,6
91713006,6
91713031,3
91713039,3
91713106,6
91713190,6
91713298,3
91713604,7
91713997,3
91713998,6
91714043,6
91714046,6
91714099,6
91714128,7
91714144,6
91714212,3
91714231,3
91714235,3
91714237,3
91714326,4
91714332,7
91714338,7
91714928,2
91714938,2
91714987,3
91715124,7
91715256,6
91715280,6
91715282,2
91715286,6
91715365,6
91715828,8
91715892,9
91715920,3
91715921,3
91715927,3
91715952,3
91715958,6
91715983,6
91715984,6
91715991,7
91716018,9
91716080,3
91716096,7
91716098,2
91716116,8
91716136,7
91716158,9
91716161,6
91716275,8
91716281,7
91716288,6
91716321,6
91716484,3
91716890,6
91716902,7
91716903,6
91716908,5
91716952,2
91717055,7
91717067,4
91717169,7
91717853,2
91717858,8
91717862,3
91717865,6
91717910,6
91717912,3
91717916,6
91717918,7
91718001,5
91718004,6
91718025,7
91718073,6
91718077,6
91718080,3
91718081,6
91718085,2
91718105,9
91718109,3
91718142,7
91718174,6
91718195,3
91718209,6
91718287,6
91718294,3
91718302,6
91718320,4
91718368,2
91718379,9
91718844,7
91718916,7
91718949,7
91718960,3
91718969,2
91719273,4
91719375,2
91719930,6
91719931,6
91719932,7
91719934,7
91719937,7
92316359,6
92374970,6
92374975,10
92374978,7
92374979,6
92500037,6
92500081,6
92500119,5
92500184,12
92500219,6
92500618,6
92500739,7
92500914,5
92500951,3
92500970,2
92500984,6
92503208,6
92504085,7
92504100,6
92504229,8
92504284,6
92504321,3
92504421,8
92504722,7
92504827,9
92504901,7
92506022,6
92506287,6
92506525,6
92506687,3
92506889,6
92506942,7
92506951,6
92506966,7
92506993,7
92506995,6
92507858,4
92507952,6
92507983,6
92508223,6
92508286,13
92508530,3
92508625,9
92508726,9
92508934,7
92540117,3
92540351,6
92540559,6
92540654,3
92543208,2
92546073,4
92546995,6
92570084,6
92570086,6
92570236,6
92570282,6
92570284,6
92570396,5
92570577,7
92570629,7
92570676,7
92570678,5
92570698,3
92570722,6
92570856,5
92570879,3
92570975,6
92570978,6
92571003,6
92571017,9
92571019,4
92571052,7
92571106,3
92571175,3
92571200,3
92571208,8
92571311,8
92571316,2
92571476,6
92571664,8
92571801,6
92571819,7
92572061,6
92572101,6
92572104,7
92572108,7
92572119,9
92572162,5
92572168,6
92572169,7
92572171,7
92572203,6
92572209,6
92572226,7
92572242,9
92572260,7
92572267,3
92572283,6
92572290,3
92572292,6
92572298,3
92572300,7
92572314,8
92572317,2
92572321,2
92572323,3
92572345,6
92572348,5
92572382,4
92572383,2
92572390,3
92572397,6
92572408,6
92572444,8
92572648,2
92572665,3
92572669,12
92572802,7
92572803,3
92572842,6
92572864,6
92572906,7
92572916,6
92572918,6
92572919,3
92572963,6
92572983,6
92572986,7
92572989,4
92573004,6
92573010,12
92573096,7
92573136,4
92573194,7
92573211,1
92573232,3
92573311,5
92573316,7
92573497,6
92573531,6
92573610,2
92573690,3
92573691,7
92573693,3
92573697,3
92573816,6
92573818,7
92573916,7
92573917,8
92573942,3
92573943,3
92573945,6
92573958,6
92574010,3
92574018,2
92574090,6
92574200,7
92574302,9
92574314,6
92574316,6
92574614,6
92574701,7
92574703,6
92574739,6
92574808,7
92574810,2
92575015,7
92575017,7
92575023,3
92575033,2
92575095,7
92575180,3
92575201,7
92575213,9
92575217,7
92575222,3
92575231,6
92575240,9
92575244,8
92575246,7
92575247,6
92575248,7
92575249,3
92575263,9
92575292,7
92575297,7
92575324,3
92575326,10
92575350,3
92575373,8
92575395,4
92575400,3
92575407,6
92575420,8
92575421,5
92575434,6
92575526,4
92575627,7
92575771,11
92575807,7
92575827,3
92575868,7
92575907,6
92575911,4
92575935,8
92575939,8
92575941,10
92575944,6
92575951,4
92575959,5
92575971,7
92575974,9
92575990,6
92575992,6
92575995,6
92575999,5
92576033,6
92576040,7
92576122,6
92576182,3
92576248,6
92576288,8
92576312,7
92576328,7
92576439,4
92576472,7
92576476,6
92576493,6
92576499,6
92576504,7
92576531,8
92576533,7
92576555,5
92576611,12
92576693,11
92576694,7
92576774,9
92576865,3
92576937,11
92576939,3
92576950,6
92576984,6
92577013,9
92577065,2
92577112,3
92577127,9
92577129,7
92577160,3
92577161,6
92577217,7
92577326,7
92577368,12
92577514,5
92577581,7
92577617,7
92577864,4
92577917,8
92577918,6
92577920,7
92577927,6
92577929,9
92577982,2
92577987,7
92578034,6
92578042,6
92578108,6
92578161,5
92578280,7
92578310,2
92578387,6
92578411,6
92578423,3
92578428,6
92578515,7
92578545,6
92578562,6
92578580,2
92578589,5
92578667,2
92578722,7
92578783,6
92578846,7
92578860,6
92578899,6
92578902,3
92578907,2
92578930,6
92578935,6
92578984,6
92578995,8
92579175,6
92579179,6
92579232,8
92579235,6
92579238,6
92579261,6
92579267,6
92579291,3
92579292,6
92579297,6
92579299,4
92579335,7
92579371,3
92579376,3
92579934,9
92579935,11
92579937,6
92579942,7
92579943,3
92579949,3
92579960,3
92579962,5
92579963,5
92579965,6
92579968,6
92579970,6
92579979,6
92579982,3
92579984,6
92579987,3
92579992,3
92579993,6
92579994,6
92579996,2
92579998,10
92608078,7
92608972,7
92614170,3
92614372,2
92619168,7
92619265,7
92619368,7
92619869,9
92619969,6
92624977,6
92676153,3
92676351,6
92676356,10
92676421,7
92676457,5
92676556,5
92678179,6
92678476,6
92710091,7
92710098,2
92710191,7
92710199,3
92710210,9
92710291,6
92710392,3
92710398,6
92710581,5
92710936,7
92710999,6
92711067,7
92711076,5
92711969,7
92712148,3
92712217,3
92712242,6
92712276,2
92712391,7
92712919,2
92712996,6
92712998,6
92713132,7
92713191,7
92713198,7
92713293,6
92713391,6
92713399,7
92713936,6
92714112,3
92714199,7
92714212,2
92714249,6
92714330,7
92714331,5
92714687,2
92714880,6
92714895,6
92714917,2
92714927,7
92714932,6
92714942,2
92715259,3
92715321,3
92715352,2
92715357,2
92715399,7
92715896,7
92715931,6
92715953,6
92715956,5
92715980,6
92715984,6
92715985,2
92715998,3
92716069,6
92716164,6
92716167,2
92716332,6
92716333,5
92716339,2
92716353,6
92716360,6
92716390,5
92716883,6
92716897,3
92716901,7
92716902,7
92716936,6
92716976,6
92716985,5
92717166,6
92717265,6
92717368,2
92717866,3
92717911,7
92717912,8
92717915,7
92717916,7
92717917,3
92717918,7
92718020,6
92718027,5
92718100,8
92718114,13
92718115,2
92718126,2
92718190,3
92718265,5
92718269,3
92718307,7
92718324,4
92718344,7
92718370,3
92718390,6
92718906,6
92718922,5
92718925,4
92718929,6
92718945,6
